cylinders,horsepower,acceleration,model_year,origin,name,brand,km_per_l,displacement_L,weight_kg
4,86.0,14.0,71,usa,mercury capri 2000,mercury,9.778312,1.9992262000000003,1006.97424
4,90.0,14.0,71,europe,opel 1900,opel,11.904032,1.9009036000000001,962.975816
4,70.0,19.5,71,europe,peugeot 304,peugeot,12.75432,1.2945809000000001,940.749808
4,76.0,14.5,71,europe,fiat 124b,fiat,12.75432,1.4420648000000003,936.66748
4,65.0,19.0,71,japan,toyota corolla 1200,toyota,13.179464000000001,1.1634841,804.218616
4,69.0,18.0,71,japan,datsun 1200,datsun,14.880040000000001,1.1798712,731.643896
4,60.0,19.0,71,europe,volkswagen model 111,volkswagen,11.478888000000001,1.5895487000000001,831.887728
4,70.0,20.5,71,usa,plymouth cricket,plymouth,11.053744,1.4912261000000002,886.7723599999999
4,95.0,15.5,72,japan,toyota corona hardtop,toyota,10.203456000000001,1.8517423000000002,1033.282576
4,80.0,17.0,72,usa,dodge colt hardtop,dodge,10.6286,1.5977422500000003,964.336592
4,54.0,23.5,72,europe,volkswagen type 3,volkswagen,9.778312,1.5895487000000001,1022.3963679999999
4,90.0,19.5,72,usa,chevrolet vega,chevrolet,8.502880000000001,2.294194,1092.249536
4,86.0,16.5,72,usa,ford pinto runabout,ford,8.928024,1.9992262000000003,1009.695792
8,165.0,12.0,72,usa,chevrolet impala,chevrolet,5.526872,5.735485000000001,1938.652208
8,175.0,12.0,72,usa,pontiac catalina,pontiac,5.952016,6.55484,1989.00092
8,150.0,13.5,72,usa,plymouth fury iii,plymouth,6.37716,5.2110978,1875.60292
8,153.0,13.0,72,usa,ford galaxie 500,ford,5.952016,5.751872100000001,1872.881368
8,150.0,11.5,72,usa,amc ambassador sst,amc,7.227448000000001,4.981678400000001,1665.589824
8,208.0,11.0,72,usa,mercury marquis,mercury,4.676584,7.0300659,2101.491736
8,155.0,13.5,72,usa,buick lesabre custom,buick,5.526872,5.735485000000001,2042.071184
8,160.0,13.5,72,usa,oldsmobile delta 88 royale,oldsmobile,5.1017280000000005,5.735485000000001,2021.205952
8,190.0,12.5,72,usa,chrysler newport royal,chrysler,5.526872,6.55484,2005.7838239999999
3,97.0,13.5,72,japan,mazda rx2 coupe,mazda,8.077736,1.147097,1056.86936
8,150.0,12.5,72,usa,amc matador (sw),amc,6.37716,4.981678400000001,1765.380064
8,130.0,14.0,72,usa,chevrolet chevelle concours (sw),chevrolet,5.526872,5.0308397000000005,1858.820016
8,140.0,16.0,72,usa,ford gran torino (sw),ford,5.526872,4.9489042,1947.724048
8,150.0,14.0,72,usa,plymouth satellite custom (sw),plymouth,5.952016,5.2110978,1849.294584
4,112.0,14.5,72,europe,volvo 145e (sw),volvo,7.652592,1.9828391000000003,1330.385336
4,76.0,18.0,72,europe,volkswagen 411 (sw),volkswagen,9.353168,1.9828391000000003,1138.969512
4,87.0,19.5,72,europe,peugeot 504 (sw),peugeot,8.928024,1.9664520000000003,1351.250568
4,69.0,18.0,72,europe,renault 12 (sw),renault,11.053744,1.5731616000000002,992.912888
4,86.0,16.0,72,usa,ford pinto (sw),ford,9.353168,1.9992262000000003,1086.35284
4,92.0,17.0,72,japan,datsun 510 (sw),datsun,11.904032,1.5895487000000001,1037.818496
4,97.0,14.5,72,japan,toyouta corona mark ii (sw),toyota,9.778312,1.9664520000000003,1136.701552
4,80.0,15.0,72,usa,dodge colt (sw),dodge,11.904032,1.6059358000000001,981.573088
4,88.0,16.5,72,japan,toyota corolla 1600 (sw),toyota,11.478888000000001,1.5895487000000001,952.5432
8,175.0,13.0,73,usa,buick century 350,buick,5.526872,5.735485000000001,1859.7272
8,150.0,11.5,73,usa,amc matador,amc,5.952016,4.981678400000001,1665.589824
8,145.0,13.0,73,usa,chevrolet malibu,chevrolet,5.526872,5.735485000000001,1808.924896
8,137.0,14.5,73,usa,ford gran torino,ford,5.952016,4.9489042,1833.418864
8,150.0,12.5,73,usa,dodge coronet custom,dodge,6.37716,5.2110978,1713.216984
8,198.0,11.5,73,usa,mercury marquis brougham,mercury,5.1017280000000005,7.0300659,2246.187584
8,150.0,12.0,73,usa,chevrolet caprice classic,chevrolet,5.526872,6.55484,2024.834688
8,158.0,13.0,73,usa,ford ltd,ford,5.526872,5.751872100000001,1979.021896
8,150.0,14.5,73,usa,plymouth fury gran sedan,plymouth,5.952016,5.2110978,1921.869304
8,215.0,11.0,73,usa,chrysler new yorker brougham,chrysler,5.526872,7.210324000000001,2147.75812
8,225.0,11.0,73,usa,buick electra 225 custom,buick,5.1017280000000005,7.4561305,2245.733992
8,175.0,11.0,73,usa,amc ambassador brougham,amc,5.526872,5.899356000000001,1733.1750319999999
6,105.0,16.5,73,usa,plymouth valiant,plymouth,7.652592,3.6870975000000006,1415.660632
6,100.0,18.0,73,usa,chevrolet nova custom,chevrolet,6.802304,4.096775,1486.874576
6,100.0,16.0,73,usa,amc hornet,amc,7.652592,3.8018072000000003,1335.82844
6,88.0,16.5,73,usa,ford maverick,ford,7.652592,4.096775,1370.301432
6,95.0,16.0,73,usa,plymouth duster,plymouth,9.778312,3.2446458000000002,1317.231168
4,46.0,21.0,73,europe,volkswagen super beetle,volkswagen,11.053744,1.5895487000000001,884.5044
8,150.0,14.0,73,usa,chevrolet impala,chevrolet,4.676584,6.55484,2266.599224
8,167.0,12.5,73,usa,ford country,ford,5.1017280000000005,6.55484,2225.322352
8,170.0,13.0,73,usa,plymouth custom suburb,plymouth,5.526872,5.899356000000001,2111.017168
8,180.0,12.5,73,usa,oldsmobile vista cruiser,oldsmobile,5.1017280000000005,5.735485000000001,2040.710408
6,100.0,15.0,73,usa,amc gremlin,amc,7.652592,3.8018072000000003,1265.068088
4,88.0,19.0,73,japan,toyota carina,toyota,8.502880000000001,1.5895487000000001,1033.736168
4,72.0,19.5,73,usa,chevrolet vega,chevrolet,8.928024,2.294194,1089.074392
4,94.0,16.5,73,japan,datsun 610,datsun,9.353168,1.7698068000000002,1079.095368
3,90.0,13.5,73,japan,maxda rx3,mazda,7.652592,1.147097,963.429408
4,85.0,18.5,73,usa,ford pinto,ford,8.077736,1.9992262000000003,1047.79752
6,107.0,14.0,73,usa,mercury capri v6,mercury,8.928024,2.5400005,1121.279424
4,90.0,15.5,73,europe,fiat 124 sport coupe,fiat,11.053744,1.6059358000000001,1027.38588
8,145.0,13.0,73,usa,chevrolet monte carlo s,chevrolet,6.37716,5.735485000000001,1851.562544
8,230.0,9.5,73,usa,pontiac grand prix,pontiac,6.802304,6.55484,1940.466576
4,49.0,19.5,73,europe,fiat 128,fiat,12.329176,1.1143228,846.856264
4,75.0,15.5,73,europe,opel manta,opel,10.203456000000001,1.9009036000000001,978.851536
4,91.0,14.0,73,europe,audi 100ls,audi,8.502880000000001,1.8681294000000002,1171.174544
4,112.0,15.5,73,europe,volvo 144ea,volvo,8.077736,1.9828391000000003,1300.901856
8,150.0,11.0,73,usa,dodge dart custom,dodge,6.37716,5.2110978,1541.759208
4,110.0,14.0,73,europe,saab 99le,saab,10.203456000000001,1.9828391000000003,1206.55472
6,122.0,13.5,73,japan,toyota mark ii,toyota,8.502880000000001,2.5563876000000003,1273.232744
8,180.0,11.0,73,usa,oldsmobile omega,oldsmobile,4.676584,5.735485000000001,1661.961088
6,95.0,16.5,74,usa,plymouth duster,plymouth,8.502880000000001,3.2446458000000002,1407.042384
6,100.0,16.0,74,usa,amc hornet,amc,8.077736,3.8018072000000003,1315.870392
6,100.0,17.0,74,usa,chevrolet nova,chevrolet,6.37716,4.096775,1513.182912
4,67.0,19.0,74,japan,datsun b210,datsun,13.179464000000001,1.2945809000000001,884.5044
4,80.0,16.5,74,usa,ford pinto,ford,11.053744,1.9992262000000003,1111.753992
4,65.0,21.0,74,japan,toyota corolla 1200,toyota,13.604608,1.1634841,832.794912
4,75.0,17.0,74,usa,chevrolet vega,chevrolet,10.6286,2.294194,1153.030864
6,100.0,17.0,74,usa,chevrolet chevelle malibu classic,chevrolet,6.802304,4.096775,1715.031352
6,110.0,18.0,74,usa,amc matador,amc,6.802304,4.227871800000001,1647.446144
6,105.0,16.5,74,usa,plymouth satellite sebring,plymouth,7.652592,3.6870975000000006,1638.827896
8,140.0,14.0,74,usa,ford gran torino,ford,6.802304,4.9489042,1878.324472
8,150.0,14.5,74,usa,buick century luxus (sw),buick,5.526872,5.735485000000001,2131.428808
8,150.0,13.5,74,usa,dodge coronet custom (sw),dodge,5.952016,5.2110978,2021.6595439999999
8,140.0,16.0,74,usa,ford gran torino (sw),ford,5.952016,4.9489042,2103.759696
8,150.0,15.5,74,usa,amc matador (sw),amc,5.952016,4.981678400000001,1930.941144
4,83.0,16.5,74,europe,audi fox,audi,12.329176,1.6059358000000001,1006.5206479999999
4,67.0,15.5,74,europe,volkswagen dasher,volkswagen,11.053744,1.2945809000000001,890.4010959999999
4,78.0,14.5,74,europe,opel manta,opel,11.053744,1.5895487000000001,1043.2616
4,52.0,16.5,74,japan,toyota corona,toyota,13.179464000000001,1.2454196000000002,747.973208
4,61.0,19.0,74,japan,datsun 710,datsun,13.604608,1.3601293,908.544776
4,75.0,14.5,74,usa,dodge colt,dodge,11.904032,1.4748390000000002,963.883
4,75.0,15.5,74,europe,fiat 128,fiat,10.203456000000001,1.4748390000000002,956.171936
4,75.0,14.0,74,europe,fiat 124 tc,fiat,11.053744,1.9009036000000001,1018.7676319999999
4,97.0,15.0,74,japan,honda civic,honda,10.203456000000001,1.9664520000000003,1128.990488
4,93.0,15.5,74,japan,subaru,subaru,11.053744,1.7698068000000002,1084.538472
4,67.0,16.0,74,europe,fiat x1.9,fiat,13.179464000000001,1.2945809000000001,907.184
6,95.0,16.0,75,usa,plymouth valiant custom,plymouth,8.077736,3.6870975000000006,1480.524288
6,105.0,16.0,75,usa,chevrolet nova,chevrolet,7.652592,4.096775,1568.974728
6,72.0,21.0,75,usa,mercury monarch,mercury,6.37716,4.096775,1556.727744
6,72.0,19.5,75,usa,ford maverick,ford,6.37716,4.096775,1432.443536
8,170.0,11.5,75,usa,pontiac catalina,pontiac,6.802304,6.55484,2117.367456
8,145.0,14.0,75,usa,chevrolet bel air,chevrolet,6.37716,5.735485000000001,2013.94848
8,150.0,14.5,75,usa,plymouth grand fury,plymouth,6.802304,5.2110978,2040.256816
8,148.0,13.5,75,usa,ford ltd,ford,5.952016,5.751872100000001,2112.377944
6,110.0,21.0,75,usa,buick century,buick,7.227448000000001,3.7854201000000005,1772.1839439999999
6,105.0,18.5,75,usa,chevroelt chevelle malibu,chevrolet,6.802304,4.096775,1767.648024
6,110.0,19.0,75,usa,amc matador,amc,6.37716,4.227871800000001,1691.89816
6,95.0,19.0,75,usa,plymouth fury,plymouth,7.652592,3.6870975000000006,1716.84572
6,110.0,15.0,75,usa,buick skyhawk,buick,8.928024,3.7854201000000005,1378.466088
8,110.0,13.5,75,usa,chevrolet monza 2+2,chevrolet,8.502880000000001,4.293420200000001,1461.019832
8,129.0,12.0,75,usa,ford mustang ii,ford,5.526872,4.9489042,1437.4330479999999
4,75.0,16.0,75,japan,toyota corolla,toyota,12.329176,1.5895487000000001,984.748232
4,83.0,17.0,75,usa,ford pinto,ford,9.778312,2.294194,1197.029288
6,100.0,16.0,75,usa,amc gremlin,amc,8.502880000000001,3.8018072000000003,1321.767088
4,78.0,18.5,75,usa,pontiac astro,pontiac,9.778312,2.294194,1175.710464
4,96.0,13.5,75,japan,toyota corona,toyota,10.203456000000001,2.1958714,1225.605584
4,71.0,16.5,75,europe,volkswagen dasher,volkswagen,10.6286,1.4748390000000002,1008.335016
4,97.0,17.0,75,japan,datsun 710,datsun,10.203456000000001,1.9500649,1154.39164
6,97.0,14.5,75,usa,ford pinto,ford,7.652592,2.8021941000000004,1353.518528
4,70.0,14.0,75,europe,volkswagen rabbit,volkswagen,12.329176,1.4748390000000002,878.607704
6,90.0,17.0,75,usa,amc pacer,amc,8.077736,3.8018072000000003,1456.483912
4,95.0,15.0,75,europe,audi 100ls,audi,9.778312,1.8845165000000001,1221.976848
4,88.0,17.0,75,europe,peugeot 504,peugeot,9.778312,1.9664520000000003,1341.271544
4,98.0,14.5,75,europe,volvo 244dl,volvo,9.353168,1.9828391000000003,1335.82844
4,115.0,13.5,75,europe,saab 99le,saab,10.6286,1.9828391000000003,1211.544232
4,53.0,17.5,75,japan,honda civic cvcc,honda,14.029752,1.4912261000000002,814.19764
4,86.0,15.5,76,europe,fiat 131,fiat,11.904032,1.7534197000000002,1117.650688
4,81.0,16.9,76,europe,opel 1900,opel,10.6286,1.9009036000000001,1006.97424
4,92.0,14.9,76,usa,capri ii,ford,10.6286,2.294194,1166.638624
4,79.0,17.7,76,usa,dodge colt,dodge,11.053744,1.6059358000000001,1022.84996
4,83.0,15.3,76,europe,renault 12tl,renault,11.478888000000001,1.6550971,998.809584
8,140.0,13.0,76,usa,chevrolet chevelle malibu classic,chevrolet,7.4400200000000005,4.998065500000001,1911.89028
8,150.0,13.0,76,usa,dodge coronet brougham,dodge,6.802304,5.2110978,1900.5504799999999
8,120.0,13.9,76,usa,amc matador,amc,6.589732000000001,4.981678400000001,1797.131504
8,152.0,12.8,76,usa,ford gran torino,ford,6.164588,5.751872100000001,1911.89028
6,100.0,15.4,76,usa,plymouth valiant,plymouth,9.353168,3.6870975000000006,1466.462936
6,105.0,14.5,76,usa,chevrolet nova,chevrolet,9.353168,4.096775,1520.893976
6,81.0,17.6,76,usa,ford maverick,ford,10.203456000000001,3.27742,1366.219104
6,90.0,17.6,76,usa,amc hornet,amc,9.56574,3.8018072000000003,1399.33132
4,52.0,22.2,76,usa,chevrolet chevette,chevrolet,12.329176,1.3929035,923.05972
4,60.0,22.1,76,usa,chevrolet woody,chevrolet,10.416028,1.6059358000000001,981.573088
4,70.0,14.2,76,europe,vw rabbit,volkswagen,12.329176,1.4748390000000002,878.607704
4,53.0,17.4,76,japan,honda civic,honda,14.029752,1.4912261000000002,814.19764
6,100.0,17.7,76,usa,dodge aspen se,dodge,8.502880000000001,3.6870975000000006,1656.064392
6,78.0,21.0,76,usa,ford granada ghia,ford,7.652592,4.096775,1621.137808
6,110.0,16.2,76,usa,pontiac ventura sj,pontiac,7.865164,4.096775,1653.34284
6,95.0,17.8,76,usa,amc pacer d/l,amc,7.4400200000000005,4.227871800000001,1448.319256
4,71.0,12.2,76,europe,volkswagen rabbit,volkswagen,12.541748,1.5895487000000001,827.8054
4,70.0,17.0,76,japan,datsun b-210,datsun,13.604608,1.3929035,902.6480799999999
4,75.0,16.4,76,japan,toyota corolla,toyota,11.904032,1.5895487000000001,977.49076
4,72.0,13.6,76,usa,ford pinto,ford,11.266316,2.294194,1163.46348
4,102.0,15.7,76,europe,volvo 245,volvo,8.502880000000001,2.130323,1428.8147999999999
8,150.0,13.2,76,usa,plymouth volare premier v8,plymouth,5.526872,5.2110978,1787.15248
4,88.0,21.9,76,europe,peugeot 504,peugeot,8.077736,1.9664520000000003,1483.24584
6,108.0,15.5,76,japan,toyota mark ii,toyota,8.077736,2.5563876000000003,1329.02456
6,120.0,16.7,76,europe,mercedes-benz 280s,mercedes-benz,7.014876,2.7530328,1732.72144
8,180.0,12.1,76,usa,cadillac seville,cadillac,7.014876,5.735485000000001,1986.73296
8,145.0,12.0,76,usa,chevy c10,chevrolet,5.526872,5.735485000000001,1839.31556
8,130.0,15.0,76,usa,ford f108,ford,5.526872,4.9489042,1755.40104
8,150.0,14.0,76,usa,dodge d100,dodge,5.526872,5.2110978,1703.23796
4,68.0,18.5,77,japan,honda accord cvcc,honda,13.392036000000001,1.6059358000000001,927.59564
4,80.0,14.8,77,usa,buick opel isuzu deluxe,buick,12.75432,1.8189681000000002,977.49076
4,58.0,18.6,77,europe,renault 5 gtl,renault,15.305184,1.2945809000000001,827.8054
4,96.0,15.5,77,usa,plymouth arrow gs,plymouth,10.841172,1.9992262000000003,1043.2616
4,70.0,16.8,77,japan,datsun f-10 hatchback,datsun,14.242324,1.3929035,882.23644
8,145.0,12.5,77,usa,chevrolet caprice classic,chevrolet,7.4400200000000005,4.998065500000001,1759.93696
8,110.0,19.0,77,usa,oldsmobile cutlass supreme,oldsmobile,7.227448000000001,4.260646,1841.58352
8,145.0,13.7,77,usa,dodge monaco brougham,dodge,6.589732000000001,5.2110978,1877.87088
8,130.0,14.9,77,usa,mercury cougar brougham,mercury,6.37716,4.9489042,1948.1776399999999
6,110.0,16.4,77,usa,chevrolet concours,chevrolet,7.4400200000000005,4.096775,1596.64384
6,105.0,16.9,77,usa,buick skylark,buick,8.715452,3.7854201000000005,1553.5526
6,100.0,17.7,77,usa,plymouth volare custom,plymouth,8.077736,3.6870975000000006,1646.53896
6,98.0,19.0,77,usa,ford granada,ford,7.865164,4.096775,1598.9118
8,180.0,11.1,77,usa,pontiac grand prix lj,pontiac,6.802304,6.55484,1914.15824
8,170.0,11.4,77,usa,chevrolet monte carlo landau,chevrolet,6.589732000000001,5.735485000000001,1889.21068
8,190.0,12.2,77,usa,chrysler cordoba,chrysler,6.589732000000001,6.55484,1961.7854
8,149.0,14.5,77,usa,ford thunderbird,ford,6.802304,5.751872100000001,1966.32132
4,78.0,14.5,77,europe,volkswagen rabbit custom,volkswagen,12.329176,1.5895487000000001,879.96848
4,88.0,16.0,77,usa,pontiac sunbird coupe,pontiac,10.416028,2.4744521,1242.84208
4,75.0,18.2,77,japan,toyota corolla liftback,toyota,11.053744,1.5895487000000001,1027.38588
4,89.0,15.8,77,usa,ford mustang ii 2+2,ford,10.841172,2.294194,1249.64596
4,63.0,17.0,77,usa,chevrolet chevette,chevrolet,12.966892000000001,1.6059358000000001,930.317192
4,83.0,15.9,77,usa,dodge colt m/m,dodge,14.242324,1.6059358000000001,941.2034
4,67.0,16.4,77,japan,subaru dl,subaru,12.75432,1.5895487000000001,900.38012
4,78.0,14.1,77,europe,volkswagen dasher,volkswagen,12.966892000000001,1.5895487000000001,993.36648
6,97.0,14.5,77,japan,datsun 810,datsun,9.353168,2.3925166000000004,1276.86148
4,110.0,12.8,77,europe,bmw 320i,bmw,9.140596,1.9828391000000003,1179.3392
3,110.0,13.5,77,japan,mazda rx-4,mazda,9.140596,1.3109680000000001,1233.77024
4,48.0,21.5,78,europe,volkswagen rabbit custom diesel,volkswagen,18.323706400000003,1.4748390000000002,900.38012
4,66.0,14.4,78,usa,ford fiesta,ford,15.3476984,1.6059358000000001,816.4656
4,52.0,19.4,78,japan,mazda glc deluxe,mazda,13.9447232,1.2781938000000002,900.38012
4,70.0,18.6,78,japan,datsun b210 gx,datsun,16.7506736,1.3929035,938.93544
4,60.0,16.4,78,japan,honda civic cvcc,honda,15.3476984,1.4912261000000002,816.4656
8,110.0,15.5,78,usa,oldsmobile cutlass salon brougham,oldsmobile,8.4603656,4.260646,1526.33708
8,140.0,13.2,78,usa,dodge diplomat,dodge,8.2477936,5.2110978,1694.16612
8,139.0,12.8,78,usa,mercury monarch ghia,mercury,8.587908800000001,4.9489042,1619.32344
6,105.0,19.2,78,usa,pontiac phoenix lj,pontiac,8.1627648,3.7854201000000005,1603.44772
6,95.0,18.2,78,usa,chevrolet malibu,chevrolet,8.715452,3.27742,1431.08276
6,85.0,15.8,78,usa,ford fairmont (auto),ford,8.587908800000001,3.27742,1344.90028
4,88.0,15.4,78,usa,ford fairmont (man),ford,10.6711144,2.294194,1233.77024
6,100.0,17.2,78,usa,plymouth volare,plymouth,8.715452,3.6870975000000006,1555.82056
6,90.0,17.2,78,usa,amc concord,amc,8.2477936,3.8018072000000003,1456.03032
6,105.0,15.8,78,usa,buick century special,buick,8.7579664,3.7854201000000005,1533.14096
6,85.0,16.7,78,usa,mercury zephyr,mercury,8.8429952,3.27742,1392.52744
6,110.0,18.7,78,usa,dodge aspen,dodge,7.907678400000001,3.6870975000000006,1642.00304
6,120.0,15.1,78,usa,amc concord d/l,amc,7.695106400000001,4.227871800000001,1546.74872
8,145.0,13.2,78,usa,chevrolet monte carlo landau,chevrolet,8.1627648,4.998065500000001,1553.5526
6,165.0,13.4,78,usa,buick regal sport coupe (turbo),buick,7.5250488,3.7854201000000005,1562.62444
8,139.0,11.2,78,usa,ford futura,ford,7.695106400000001,4.9489042,1453.76236
8,140.0,13.7,78,usa,dodge magnum xe,dodge,7.4400200000000005,5.2110978,1850.65536
4,68.0,16.5,78,usa,chevrolet chevette,chevrolet,12.75432,1.6059358000000001,977.49076
4,95.0,14.2,78,japan,toyota corona,toyota,11.691460000000001,2.1958714,1161.19552
4,97.0,14.7,78,japan,datsun 510,datsun,11.5639168,1.9500649,1043.2616
4,75.0,14.5,78,usa,dodge omni,dodge,13.1369496,1.7206455000000003,1011.51016
4,95.0,14.8,78,japan,toyota celica gt liftback,toyota,8.9705384,2.1958714,1140.78388
4,105.0,16.7,78,usa,plymouth sapporo,plymouth,9.8633408,2.5563876000000003,1245.11004
4,85.0,17.6,78,usa,oldsmobile starfire sx,oldsmobile,10.118427200000001,2.4744521,1295.00516
4,97.0,14.9,78,japan,datsun 200-sx,datsun,10.1609416,1.9500649,1090.88876
5,103.0,15.9,78,europe,audi 5000,audi,8.630423200000001,2.1467101000000004,1283.66536
6,125.0,13.6,78,europe,volvo 264gl,volvo,7.227448000000001,2.6710973000000005,1424.27888
4,115.0,15.7,78,europe,saab 99gle,saab,9.1831104,1.9828391000000003,1267.78964
6,133.0,15.8,78,europe,peugeot 604sl,peugeot,6.8873328,2.6710973000000005,1546.74872
4,71.0,14.9,78,europe,volkswagen scirocco,volkswagen,13.392036000000001,1.4584519000000002,902.6480799999999
4,68.0,16.6,78,japan,honda accord lx,honda,12.541748,1.6059358000000001,968.41892
6,115.0,15.4,79,usa,pontiac lemans v6,pontiac,9.140596,3.7854201000000005,1471.90604
6,85.0,18.2,79,usa,mercury zephyr 6,mercury,8.417851200000001,3.27742,1356.24008
4,88.0,17.3,79,usa,ford fairmont 4,ford,9.4807112,2.294194,1310.88088
6,90.0,18.2,79,usa,amc concord dl 6,amc,8.587908800000001,3.8018072000000003,1480.97788
6,110.0,16.6,79,usa,dodge aspen 6,dodge,8.7579664,3.6870975000000006,1524.0691199999999
8,130.0,15.4,79,usa,chevrolet caprice classic,chevrolet,7.227448000000001,4.998065500000001,1741.7932799999999
8,129.0,13.4,79,usa,ford ltd landau,ford,7.482534400000001,4.9489042,1689.6302
8,138.0,13.2,79,usa,mercury grand marquis,mercury,7.014876,5.751872100000001,1793.95636
8,135.0,15.2,79,usa,dodge st. regis,dodge,7.7376208,5.2110978,1737.25736
8,155.0,14.9,79,usa,buick estate wagon (sw),buick,7.1849336,5.735485000000001,1977.66112
8,142.0,14.3,79,usa,ford country squire (sw),ford,6.589732000000001,5.751872100000001,1838.861968
8,125.0,15.0,79,usa,chevrolet malibu classic (sw),chevrolet,8.1627648,4.3753557,1635.19916
8,150.0,13.0,79,usa,chrysler lebaron town @ country (sw),chrysler,7.865164,5.899356000000001,1787.15248
4,71.0,14.0,79,europe,vw rabbit custom,volkswagen,13.5620936,1.4584519000000002,873.1646
4,65.0,15.2,79,japan,maxda glc deluxe,mazda,14.497410400000001,1.4092906,895.8442
4,80.0,14.4,79,usa,dodge colt hatchback custom,dodge,15.177640800000002,1.6059358000000001,868.62868
4,80.0,15.0,79,usa,amc spirit dl,amc,11.6489456,1.9828391000000003,1211.09064
